time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.640000000000001,-0.0649498852228,0.0834206939081,12.9184347564,0.0524112899879,6.25832058627,0.0,-0.00615589407944,0.264528902708,3.28840252176,0.0370883896866,-0.0265722950018,0.0,472.0135292253211,474.5633123244217,473.5798247239744,473.69965656808273
1.660000000000001,-0.0650119248921,0.0888399664269,12.9846947563,0.0531786313528,6.25778914765,0.0,-4.80728515069e-05,0.277398349174,3.33759746373,0.0442401127147,-0.0264516123891,0.0,461.95854847781965,461.98697349137655,460.94476162891476,462.6377944489219
1.680000000000001,-0.0649526471662,0.0945140090961,13.0518541068,0.0540646585042,6.25726782636,0.0,0.00597584544713,0.290005917749,3.37833759199,0.0458052945733,-0.0225245382248,0.0,454.47389452850973,455.4170927423674,453.8706570799882,454.24843099666396
1.700000000000001,-0.064776663864,0.10043184575,13.1196350528,0.0549821469224,6.25683548763,0.0,0.0116224847698,0.301777747671,3.39975700194,0.0474681395656,-0.016499252027,0.0,435.9224000508243,437.4302746301255,436.5303334583157,436.94769347186167
1.720000000000001,-0.0644884308334,0.106583712528,13.1877825821,0.0559389240102,6.25651643322,0.0,0.0172008182891,0.313408930113,3.41499592732,0.0513189307848,-0.0118236497472,0.0,430.99536039420894,432.1793775060404,429.7750917973841,430.75461351345547
1.740000000000001,-0.0640895799245,0.112966806396,13.2561738549,0.0570377096551,6.25633272416,0.0,0.0226842726044,0.324900456629,3.42413136066,0.0633528020765,-0.0220963255006,0.0,426.6720606637832,424.03282770175576,423.29880045919845,426.39614772261035
1.7600000000000011,-0.0635770903991,0.119589595146,13.3248810963,0.0583192475819,6.25589090165,0.0,0.0285646799326,0.337378418411,3.44659277502,0.0579710021424,-0.0225523884716,0.0,438.1660636275074,438.05227427690915,438.6567707889233,437.3169077689579
1.7800000000000011,-0.0629499250377,0.126456404664,13.3938946884,0.0595125816366,6.25549584222,0.0,0.0341518562069,0.349302533393,3.4547664337,0.0497352250825,-0.0119704849875,0.0,422.7881299064744,425.51457934771196,425.72564755990385,423.6087158497385
1.8000000000000012,-0.0621991207124,0.133587928164,13.4634710881,0.0605146984176,6.25525850033,0.0,0.0409285763265,0.363849816592,3.50287353455,0.0458849577293,-0.0140041094221,0.0,462.46834634222597,461.9876694125279,462.3003596176935,461.39074046257514
1.8200000000000012,-0.061318955355,0.14099820537,13.5337680298,0.0614498389155,6.25498617855,0.0,0.0470879594096,0.377177903994,3.52682063623,0.051791114408,-0.0100644625632,0.0,438.6919640845206,439.6724085483884,440.15499700138906,441.6202410049787
